time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.06927109523966334,-0.0024678873747733163,12.181631236513576,0.02017106614048636,0.02644565808013155,0.0,-0.17921219459325757,0.04358103107194215,3.1824317482295195,0.04635547931250713,0.029768079944433642,0.0,462.07781215944397,460.8155879836242,462.55753184289216,461.719997025676
1.3400000000000007,-0.07291749423875916,-0.0015489059693376765,12.24566560434696,0.021104542365444345,0.02704768713201844,0.0,-0.18542770531632521,0.04831710947162182,3.221005035108957,0.049923851128292264,0.03341977900052429,0.0,450.3766884522733,451.26215132419765,451.3679128565952,452.2322701737411
1.3600000000000008,-0.0766951670773383,-0.000528685209907008,12.310676345692483,0.02211612617829317,0.02773013343328401,0.0,-0.19233957854158784,0.05370496647144502,3.28006909944328,0.05504377110488345,0.028118699628358338,0.0,470.8940450943875,469.66257459501514,469.2203348742898,470.41267050013
1.3800000000000008,-0.08061768985282128,0.0006057545555339669,12.377043700778993,0.02323618544382544,0.028309569545297286,0.0,-0.19991269900670938,0.059739010072652476,3.356666409207623,0.061237936655532836,0.022277104050810383,0.0,485.2392283968891,483.92198441991445,486.03277344500054,487.42524393231724
1.4000000000000008,-0.08467761981010308,0.0018510975380143686,12.444390738211991,0.024463424042639126,0.028768989333636696,0.0,-0.20608029672147002,0.06479528817538767,3.378037334092283,0.05901089121233989,0.027545444837681614,0.0,435.597461469635,436.91723622296485,436.53975416686256,435.98463155938913
1.4200000000000008,-0.08886622021146606,0.003203903203656729,12.512314996917313,0.025674598880842225,0.0293228969540138,0.0,-0.21277974341482894,0.0704852783888484,3.4143885364398976,0.06687943795950542,0.025096476229045032,0.0,451.5273720341343,450.93443110770454,448.7404202355847,450.6549951867999
1.4400000000000008,-0.09318792366730999,0.004671418011435853,12.580891936927705,0.027013175716904314,0.029835315298109677,0.0,-0.2193906021695637,0.07626620238906401,3.44330546459923,0.06828519531574703,0.029676611492420082,0.0,443.2009871220429,444.32902398064545,443.626726292589,443.97623414111825
1.4600000000000009,-0.09764123969524814,0.006255968514580743,12.64998806226391,0.02838091089722017,0.030428854215949208,0.0,-0.2259410006242519,0.08218884792542494,3.4663070690212776,0.06626961897099722,0.029792266075394095,0.0,438.4742555525449,438.50336455800374,438.55745852164074,438.0584935796801
1.4800000000000009,-0.10222962935804966,0.007964542139008953,12.719634739646212,0.02982823560625647,0.031029502035591072,0.0,-0.23289796565590054,0.08866851451739603,3.4983606692088904,0.08188578556950846,0.03289145891670373,0.0,446.18166634511005,446.94038699900733,445.66578673791975,449.4820288678541
1.5000000000000009,-0.10695389892355067,0.009801557745891604,12.789773084595097,0.031476267319187734,0.03168766290692204,0.0,-0.23952899089420054,0.09503304617086901,3.515473825679719,0.08642803204918191,0.033705944026139585,0.0,432.85224957014367,433.05828793856455,432.7925415991489,433.94361492477026
